City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Bud,US,88.21,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
321,Suriapet,IN,80.58,scattered clouds,17.15,79.6167,Bc A hostel
322,Lompoc,US,86.77,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
323,Tura,IN,75.56,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
324,Seoul,KR,81.97,clear sky,37.5683,126.9778,롯데호텔 서울
325,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
326,Antalya,TR,84.79,clear sky,36.7741,30.7178,
328,Tuy Hoa,VN,81.7,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
329,Narasannapeta,IN,82.71,overcast clouds,18.4167,84.05,G.lingaraju home
330,Nalut,LY,86.74,clear sky,30.3333,10.85,
332,Sarangani,PH,83.53,overcast clouds,5.4033,125.4636,Ballistic Islet
334,Broome,US,85.69,scattered clouds,42.2506,-75.833,Chenango Valley State Park
335,Dingle,PH,77.14,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
337,Lahij,YE,81.3,broken clouds,13.1667,44.5833,
341,Marrakesh,MA,87.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
342,Guaruja,BR,87.4,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
345,Ashland,US,88.68,scattered clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
347,Lodja,CD,81.82,overcast clouds,-3.4833,23.4333,
348,Krasnyy Yar,RU,76.96,clear sky,46.5331,48.3456,Cottege near Ufa
349,Mangan,IN,77.59,overcast clouds,27.5167,88.5333,Hotel Mout View
352,Sibolga,ID,76.64,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
358,Panalingaan,PH,80.38,few clouds,8.7842,117.4231,I Love Panalingaan View Deck
359,Suez,EG,79.48,clear sky,29.9737,32.5263,Green House
370,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
373,Isla Vista,US,89.01,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
374,Sechura,PE,76.01,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
376,Machiques,VE,79.61,overcast clouds,10.0644,-72.545,hotel el markes
378,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
380,Bandarbeyla,SO,76.3,clear sky,9.4942,50.8122,JABIR HOTEL
395,Wanxian,CN,77.14,clear sky,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
396,Nawalgarh,IN,89.46,overcast clouds,27.85,75.2667,Roop Niwas Kothi
410,Lethem,GY,85.05,overcast clouds,3.3803,-59.7968,Savannah Inn
415,Namatanai,PG,78.44,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
416,Galle,LK,78.39,overcast clouds,6.0367,80.217,Amangalla
418,Pasni,PK,81.63,overcast clouds,25.2631,63.471,Kashmiri Hotal
422,Faanui,PF,78.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
423,Balkanabat,TM,83.88,clear sky,39.5108,54.3671,Nebitchi Hotel
430,Isangel,VU,75.0,overcast clouds,-19.55,169.2667,Tanna Lodge
436,Samarai,PG,78.3,light rain,-10.6167,150.6667,Nuli Sapi
437,Hami,CN,85.69,clear sky,42.8,93.45,Laoyutang Resort
441,Santa Gertrudis,MX,76.68,clear sky,19.7333,-99.3667,El Sitio Maya C. Recreativo
444,Santa Cruz,BO,87.26,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
445,Beberibe,BR,82.44,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
450,Juegang,CN,78.4,light rain,32.3174,121.1855,Rudong Y Hotel
458,Harper,LR,75.76,scattered clouds,4.375,-7.7169,Screensaver
465,Miraflores,MX,78.03,broken clouds,19.2167,-98.8083,Hotel Mansión
467,Castelldefels,ES,79.32,few clouds,41.2779,1.9703,Gran Hotel Rey Don Jaime
469,Guerrero Negro,MX,78.66,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
474,Sabirabad,AZ,79.79,clear sky,40.0095,48.4752,Mugan Park Hotel
484,Port Hawkesbury,CA,75.04,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
489,Gizo,SB,80.53,light rain,-8.103,156.8419,Imagination Island
490,Lorengau,PG,78.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
492,Islamkot,PK,83.75,moderate rain,24.6997,70.177,Haji Hotel
493,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
494,Beruwala,LK,78.31,overcast clouds,6.4788,79.9828,The Palms Hotel
497,Pompeia,BR,81.52,clear sky,-22.1086,-50.1717,Hotel Pousada Vale do Sol
502,Isagarh,IN,79.27,broken clouds,24.8333,77.8833,ACC Cement
503,Chandbali,IN,83.66,overcast clouds,20.7833,86.7667,KABITA HOMES
506,Taos,US,76.21,few clouds,36.4072,-105.5731,El Monte Sagrado
515,Saint-Louis,SN,89.29,scattered clouds,16.3333,-15.0,
520,Dong Hoi,VN,78.39,overcast clouds,17.4833,106.6,Nam Long Hotel
526,Chaohu,CN,80.04,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
530,Port Blair,IN,82.17,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
531,Ocean City,US,89.26,clear sky,39.2776,-74.5746,Biscayne Suites
533,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
534,Nageshwari,BD,80.67,heavy intensity rain,25.9377,89.7148,Harun Villa
536,Manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
540,Carbonia,IT,79.84,light rain,39.1672,8.5222,Lu 'Hotel
541,Tortoli,IT,79.99,light rain,39.9256,9.6572,Hotel La Bitta
543,Besikduzu,TR,76.89,scattered clouds,41.052,39.2284,YKT
545,Anamur,TR,78.82,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
546,Itarema,BR,81.09,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
550,Reconquista,AR,76.64,broken clouds,-29.15,-59.65,Grand Hotel
