City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Cape Town,ZA,-33.9258,18.4232,62.11,53,0,3.44,clear sky
110,Dwarka,IN,22.2394,68.9678,82.0,87,100,21.05,heavy intensity rain
111,Ambon,ID,-3.6954,128.1814,77.14,94,40,0.0,scattered clouds
112,Key West,US,24.5557,-81.7826,89.6,66,75,8.05,broken clouds
113,Codrington,AU,-38.2667,141.9667,50.04,94,73,14.32,broken clouds
114,Ostrovnoy,RU,68.0531,39.5131,45.79,90,100,16.26,overcast clouds
115,Beringovskiy,RU,63.05,179.3167,51.76,90,100,1.61,overcast clouds
116,Ribeira Grande,PT,38.5167,-28.7,73.8,78,20,16.11,few clouds
117,Miri,MY,4.4148,114.0089,80.74,94,20,2.3,few clouds
118,Constitucion,CL,-35.3333,-72.4167,53.65,86,26,9.13,scattered clouds
119,Garango,BF,11.8,-0.5506,82.87,58,79,8.43,broken clouds
120,Kaitangata,NZ,-46.2817,169.8464,48.92,73,100,3.02,overcast clouds
121,Isla Mujeres,MX,21.2311,-86.731,80.65,70,95,9.62,overcast clouds
122,Sao Raimundo Nonato,BR,-9.0153,-42.6994,80.98,43,41,9.31,scattered clouds
123,Brigantine,US,39.4101,-74.3646,89.29,73,1,11.5,clear sky
124,Richards Bay,ZA,-28.783,32.0377,57.54,83,0,6.87,clear sky
125,Baruun-Urt,MN,46.6806,113.2792,60.42,69,100,12.01,overcast clouds
126,Mar Del Plata,AR,-38.0023,-57.5575,53.62,58,90,5.99,overcast clouds
127,Hamilton,US,39.1834,-84.5333,91.22,67,40,1.99,scattered clouds
128,College,US,64.8569,-147.8028,65.59,57,75,5.75,broken clouds
129,Mingguang,CN,32.7802,117.9638,76.73,93,100,14.0,overcast clouds
130,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,40,5.75,scattered clouds
131,Piet Retief,ZA,-27.0071,30.8132,37.96,94,0,2.84,clear sky
132,Saskylakh,RU,71.9167,114.0833,55.15,68,85,13.8,overcast clouds
133,Atar,MR,20.5169,-13.0499,104.85,13,97,1.34,overcast clouds
134,Warrnambool,AU,-38.3833,142.4833,51.82,91,92,17.65,overcast clouds
135,Chantada,ES,42.6088,-7.7712,66.42,74,82,5.39,broken clouds
136,Kaohsiung,TW,22.6163,120.3133,84.15,90,75,8.01,broken clouds
137,Yulara,AU,-25.2406,130.9889,46.24,61,5,5.75,clear sky
138,Ulladulla,AU,-35.35,150.4667,55.09,63,4,12.55,clear sky
139,Abingdon,GB,51.6711,-1.2828,68.92,81,75,5.75,broken clouds
140,Manga,BF,11.6636,-1.0731,80.28,65,73,8.48,broken clouds
141,Katsuura,JP,35.1333,140.3,80.11,83,56,12.08,broken clouds
142,Mala,PE,-12.6581,-76.6308,66.36,74,18,8.28,few clouds
143,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,10.36,broken clouds
144,Buta,CD,2.7858,24.73,72.54,81,100,1.03,overcast clouds
145,Alappuzha,IN,9.49,76.3264,77.38,89,100,14.83,overcast clouds
146,Verkhnetulomskiy,RU,68.6073,31.7962,44.73,79,100,4.7,overcast clouds
147,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,2.3,light rain
148,Comarapa,BO,-17.9,-64.4833,66.34,51,0,8.23,clear sky
149,Greensburg,US,40.3015,-79.5389,87.58,69,75,7.0,broken clouds
150,Laguna,US,38.421,-121.4238,104.25,33,1,1.99,clear sky
151,Portland,US,45.5234,-122.6762,88.97,47,1,4.0,clear sky
152,Webuye,KE,0.6075,34.7697,65.61,76,39,0.98,scattered clouds
153,Japura,ID,-0.3167,102.35,74.84,88,9,2.77,clear sky
154,Dikson,RU,73.5069,80.5464,39.42,85,100,14.88,overcast clouds
155,Avarua,CK,-21.2078,-159.775,75.25,88,40,4.61,scattered clouds
156,Kaeo,NZ,-35.1,173.7833,57.33,97,32,9.42,scattered clouds
157,Great Falls,US,47.5002,-111.3008,94.93,12,1,7.0,clear sky
158,Nikolayevka,RU,53.1257,47.2041,61.7,54,100,3.74,overcast clouds
159,Chakradharpur,IN,22.7,85.6333,77.68,90,83,4.9,broken clouds
160,George Town,MY,5.4112,100.3354,83.89,85,20,2.3,few clouds
161,Beloha,MG,-25.1667,45.05,62.35,67,61,11.34,broken clouds
162,Grand Forks,US,47.9417,-97.4337,91.13,21,20,10.36,few clouds
163,Torbay,CA,47.6666,-52.7314,62.28,87,75,10.36,broken clouds
164,Sur,OM,22.5667,59.5289,93.49,52,55,12.82,broken clouds
165,Juba,SS,4.8517,31.5825,68.31,91,100,1.99,overcast clouds
166,Laiwu,CN,36.1928,117.6569,72.48,85,95,3.22,overcast clouds
167,Cherskiy,RU,68.75,161.3,45.93,63,23,7.2,few clouds
168,Margate,GB,51.3813,1.3862,66.04,88,45,1.01,scattered clouds
169,Tiksi,RU,71.6872,128.8694,48.25,81,100,6.38,overcast clouds
170,Mulege,MX,26.8833,-111.9833,93.27,42,33,12.1,scattered clouds
171,Chissamba,AO,-12.1667,17.3333,61.2,39,0,3.13,clear sky
172,Krasnoselkup,RU,65.7,82.4667,53.89,91,48,6.04,scattered clouds
173,Sabha,LY,27.0377,14.4283,85.19,17,0,11.39,clear sky
174,Gigmoto,PH,13.7796,124.39,80.78,86,100,10.16,overcast clouds
175,Boa Vista,BR,2.8197,-60.6733,85.98,62,75,3.44,broken clouds
176,Prince Rupert,CA,54.3161,-130.3201,62.29,80,90,4.61,light rain
177,Senno,RU,59.5336,33.9167,54.27,67,14,3.71,few clouds
178,Machali,CL,-34.1833,-70.6667,52.88,71,75,10.36,broken clouds
179,Dimapur,IN,25.9,93.7333,77.18,93,100,1.9,overcast clouds
180,Wanning,CN,18.8003,110.3967,79.14,92,69,8.72,broken clouds
181,Lakes Entrance,AU,-37.8811,147.981,48.18,60,100,13.53,overcast clouds
182,Markova,UA,48.6758,24.4138,62.78,83,80,5.44,broken clouds
183,Meulaboh,ID,4.1363,96.1285,76.95,87,97,3.76,overcast clouds
184,Mentougou,CN,39.9392,116.0917,79.02,83,60,1.92,broken clouds
185,Hasaki,JP,35.7333,140.8333,75.6,79,10,15.75,clear sky
186,Hualmay,PE,-11.0964,-77.6139,67.44,73,21,9.26,few clouds
187,Provideniya,RU,64.3833,-173.3,46.51,100,90,6.71,moderate rain
188,Qeshm,IR,26.9581,56.2719,91.29,73,22,6.17,few clouds
189,Ahuimanu,US,21.4447,-157.8378,87.51,71,75,13.8,light rain
190,Omboue,GA,-1.5746,9.2618,73.56,81,97,6.62,overcast clouds
191,Manaure,CO,11.7751,-72.4445,80.85,78,100,14.52,overcast clouds
192,Chibombo,ZM,-14.6569,28.0706,53.26,54,0,6.64,clear sky
193,La Ronge,CA,55.1001,-105.2842,71.82,46,75,9.22,broken clouds
194,Tilichiki,RU,60.4667,166.1,53.22,98,100,4.14,overcast clouds
195,Ormara,PK,25.2088,64.6357,82.2,83,100,12.71,overcast clouds
196,Tamara,HN,14.15,-87.3333,85.75,35,40,11.5,scattered clouds
197,Porto Novo,BJ,6.4965,2.6036,78.62,76,8,8.9,clear sky
198,Erzin,TR,36.9559,36.2,81.32,78,0,1.99,clear sky
199,Whittlesea,ZA,-32.1759,26.8244,42.12,38,2,5.3,clear sky
200,Tual,ID,-5.6667,132.75,79.81,79,56,18.77,broken clouds
201,Guiyang,CN,26.5833,106.7167,66.69,94,20,2.24,few clouds
202,Vao,NC,-22.6667,167.4833,71.38,70,54,15.75,broken clouds
203,Awbari,LY,26.5921,12.7805,86.04,20,0,10.27,clear sky
204,Fortuna,US,40.5982,-124.1573,61.66,83,1,16.11,clear sky
205,Mezokovesd,HU,47.8167,20.5833,69.15,81,64,2.93,broken clouds
206,Yerbogachen,RU,61.2767,108.0108,61.38,66,78,1.36,broken clouds
207,Amos,CA,48.5669,-78.1162,76.98,53,62,8.23,broken clouds
208,Itaituba,BR,-4.2761,-55.9836,95.16,49,40,5.75,scattered clouds
209,Chapais,CA,49.7834,-74.8492,65.98,50,91,8.93,overcast clouds
210,Champerico,GT,14.3,-91.9167,93.74,71,39,7.9,scattered clouds
211,Evensk,RU,61.95,159.2333,48.63,99,100,7.23,light rain
212,Jiwani,PK,25.05,61.7417,83.17,87,97,8.1,overcast clouds
213,Talnakh,RU,69.4865,88.3972,55.8,93,100,4.88,overcast clouds
214,Mosquera,CO,4.7059,-74.2302,59.09,82,75,9.22,broken clouds
215,Kawalu,ID,-7.3817,108.2082,66.58,97,48,2.04,scattered clouds
216,Tashla,RU,51.7716,52.7427,59.85,42,0,9.33,clear sky
217,Geraldton,AU,-28.7667,114.6,46.81,93,0,12.66,clear sky
218,Florianopolis,BR,-27.6146,-48.5012,72.41,74,0,12.66,clear sky
219,Yanji,CN,42.9075,129.5078,69.03,96,100,2.04,overcast clouds
220,Tynda,RU,55.1667,124.7167,58.24,96,100,2.89,overcast clouds
221,Kavieng,PG,-2.5744,150.7967,81.0,76,93,3.51,light rain
222,Venado Tuerto,AR,-33.7456,-61.9688,63.79,45,0,10.29,clear sky
223,Ayagoz,KZ,47.9714,80.4392,72.55,42,96,1.63,overcast clouds
224,Ahipara,NZ,-35.1667,173.1667,57.36,91,14,10.92,few clouds
225,Mount Gambier,AU,-37.8333,140.7667,49.91,100,75,10.36,broken clouds
226,Mahanoro,MG,-19.9,48.8,62.92,91,100,10.49,light rain
